Word,Count,Replacement
flightled,0,flight
agent,0,assistant
number,0,count
flightr,0,flight
flightlations,0,flight
customerservice,0,customer service
flightlation,0,flight
usairwaysfail,0,us airways fail
flightd,0,flight
cc,0,airport
avgeek,0,geek
badservice,0,bad service
neveragain,0,never again
flightling,0,flight
badcustomerservice,0,bad customer service
flightation,0,flight
jblu,0,jet blue
flightations,0,flight
nothappy,0,not happy
flts,0,fit
unitedairlines,0,united airlines
unfriendlyskies,0,unfriendly skies
mark,0,spot
epicfail,0,epic fail
poorservice,0,poor service
flightly,0,flight
flightst,0,flight
notcool,0,not cool
unitedsucks,0,united sucks
flyingitforward,0,fly it forward
hpn,0,airport
bluemanity,0,blue manity
unitedfail,0,united fail
resched,0,reschedule
usairwayssucks,0,us airways sucks
worstairlineever,0,worst airline ever
flyfi,0,fly
trueblue,0,true blue
onhold,0,on hold
filmcrew,0,film crew
destinationdragons,0,destination dragons
worstcustomerservice,0,worst customer service
southwestairlines,0,southwest airlines
poorcustomerservice,0,poor customer service
firstclass,0,first class
